coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_fielding,handle_veterans,handle_rookies,handle_players,strategy_knowledge,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,opener,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,busy,type,data,days_left
1,"Juan","Viera","",69,"1950-2-27",87871,124,205,191,7,32,6,0,0,4,0,0,0,0,64,37,70,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,1,3,0,0,0,0,13,5,2,0,0,0,0,0,40,0,0,55,0,0,0,0,0
2,"Jack","Howell","",57,"1961-8-18",81480,206,201,183,1,12,2,254,8711,0,310000,1,0,0,0,0,0,0,0,126,0,156,8,38,23,0,0,0,0,0,0,1,2,0,3,0,94,0,0,0,0,1,0,1,-1,0,-1,1,3,-1,1,-1,1,-1,0,0,0,0,1,-1,-1,0,1,-1,-3,0,0,2,-5,-1,10,0,-4,4,-1,0,12,4,2,2,2,0,9,-4,103,6,100,0,0,0,0,0,0
3,"Mel","Stottlemyre Jr.","",55,"1963-12-28",61145,206,185,185,4,13,4,41,0,0,194000,2,0,0,22,2,22,0,2,13,126,30,64,72,68,0,0,0,0,0,0,1,0,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,-3,4,-5,0,0,0,0,11,4,3,2,0,0,0,0,79,112,27,10,0,0,0,0,0
4,"Pat","Corrales","",78,"1941-3-20",41955,206,195,183,1,21,2,0,5003,0,0,0,0,0,0,0,0,0,1,88,41,74,134,129,120,0,0,0,0,0,0,1,2,3,3,0,67,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0,1,0,0,0,-1,1,0,0,-1,0,0,1,0,0,0,0,0,0,1,-2,3,0,5,0,0,12,3,3,2,-2,-2,8,8,102,61,96,0,0,0,0,0,0
5,"Kyung-bok","Soung","",64,"1954-5-27",61641,177,210,189,9,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,5,-4,-3,0,0,0,0,13,4,2,1,0,0,0,0,14,0,0,0,0,0,0,0,0
6,"Melle","Muijen","",59,"1960-4-24",89457,85,215,195,7,17,6,0,0,5,0,0,0,0,70,100,61,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,-4,-5,2,0,0,0,0,14,3,2,1,0,0,0,0,42,0,0,78,0,0,0,0,0
7,"Lino","Connell","",47,"1972-3-12",47987,210,170,186,5,6,5,0,0,0,0,0,0,0,0,0,0,0,1,112,14,191,60,82,71,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,-3,-5,0,0,0,0,13,4,2,1,0,0,0,0,73,28,102,0,0,0,0,0,0
8,"Seong-rae","Kym","",53,"1966-2-2",61249,177,195,186,9,19,13,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,4,0,0,0,0,12,4,2,2,0,0,0,0,11,0,0,0,0,0,0,0,0
9,"Stan","Kasten","",67,"1952-2-1",43345,206,180,180,2,26,3,0,0,0,0,0,0,0,151,133,139,155,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,0,2,-1,1,2,3,2,0,0,0,0,3,3,0,3,2,0,0,0,0,0,0,-2,0,0,0,0,1,7,-5,-3,-3,0,5,-1,-1,12,6,1,1,-1,-3,6,-3,50,0,0,147,0,0,0,0,0
10,"Alex","Anthopoulos","",41,"1977-9-15",51650,36,190,179,3,11,1,32,0,6,552000,1,0,0,139,135,125,141,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,-3,1,3,2,3,-1,-3,0,3,0,-2,-1,0,-3,-2,-3,0,0,0,0,0,3,0,0,0,0,-1,3,-2,-4,2,-5,2,0,0,15,3,1,1,0,-6,3,-7,40,0,0,137,0,0,0,0,0
