league_id,sub_league_id,division_id,name,gender
150,0,0,"East Division",0
150,0,1,"Central Division",0
150,0,2,"West Division",0
150,1,0,"East Division",0
150,1,1,"Central Division",0
150,1,2,"West Division",0
151,0,0,"North Division",0
151,0,1,"South Division",0
151,0,2,"West Division",0
152,0,0,"North Division",0
152,0,1,"South Division",0
152,1,0,"North Division",0
152,1,1,"South Division",0
153,0,0,"Eastern Division",0
153,0,1,"Western Division",0
154,0,0,"North Division",0
154,0,1,"South Division",0
155,0,0,"North Division",0
155,0,1,"South Division",0
156,0,0,"North Division",0
156,0,1,"South Division",0
157,0,0,"Northern Division",0
157,0,1,"Southern Division",0
158,0,0,"FSL North",0
158,0,1,"FSL South",0
159,0,0,"Eastern Division",0
159,0,1,"Western Division",0
160,0,0,"Northern Division",0
160,0,1,"Southern Division",0
161,0,0,"McNamara Division",0
161,0,1,"Pinckney Division",0
161,0,2,"Stedler Division",0
162,0,0,"North Division",0
162,0,1,"South Division",0
163,0,0,"East",0
163,0,1,"West",0
164,0,0,"East Division",0
164,0,1,"Central Division",0
164,0,2,"West Division",0
165,0,0,"Northwest Division",0
165,0,1,"Northeast Division",0
165,0,2,"East Division",0
165,0,3,"South Division",0
166,0,0,"North",0
166,0,1,"South",0
177,0,0,"Boca Chica Baseball City Division",0
177,0,1,"Boca Chica North Division",0
177,0,2,"Boca Chica Northwest Division",0
177,0,3,"Boca Chica South Division",0
177,0,4,"San Pedro de Macoris Division",0
177,0,5,"Boca Chica Northeast Division",0
