game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
1,153,191,198,2251,"2019-4-4",1800,0,1,0,9,8,2,12,6,0,1,39514,21225,0,39514,21225
2,153,197,195,2232,"2019-4-4",1830,0,1,0,13,3,4,10,10,1,1,37554,22589,0,34291,34488
3,153,190,188,2230,"2019-4-4",1835,0,1,0,9,0,8,6,15,1,1,1890,27272,21506,27272,1890
4,153,193,194,2284,"2019-4-4",1835,0,1,0,9,0,3,5,5,0,1,24592,1836,27997,1836,24592
5,153,189,187,2267,"2019-4-4",1835,0,1,0,9,0,2,3,9,1,1,21711,1539,2007,1539,21711
6,153,191,198,2196,"2019-4-5",1800,0,1,0,9,2,0,9,4,1,0,21529,36734,36056,21529,36734
7,153,196,192,2201,"2019-4-5",1805,0,1,0,9,7,0,9,4,0,0,21020,27010,0,21020,27010
8,153,193,194,2240,"2019-4-5",1835,0,1,0,9,4,2,6,9,0,0,920,1138,20201,920,1138
9,153,189,187,2245,"2019-4-6",1305,0,1,0,9,6,5,12,8,0,2,39724,1773,21584,27046,21242
10,153,197,195,2194,"2019-4-5",1900,0,1,0,9,4,3,13,8,1,1,36222,35709,287,27607,39832
11,153,190,188,2181,"2019-4-5",1905,0,1,0,9,2,3,11,7,1,1,39796,1126,33516,1126,39796
12,153,191,198,2214,"2019-4-5",1800,0,1,0,9,6,8,10,11,1,1,34497,33732,25773,33732,34413
13,153,196,192,2213,"2019-4-5",1805,0,1,0,9,7,5,13,6,0,2,37437,35090,21777,37437,1265
14,153,193,194,2281,"2019-4-5",1835,0,1,0,9,3,2,10,11,0,0,1313,20528,20201,1313,20528
15,153,189,187,2209,"2019-4-5",1835,0,1,0,9,6,1,15,5,0,0,35200,35451,0,35200,35451
16,153,197,195,2221,"2019-4-5",1900,0,1,0,9,8,5,12,11,0,0,31919,608,0,31458,21218
17,153,190,188,2279,"2019-4-5",1905,0,1,0,9,6,2,10,4,0,0,33529,38856,39733,33529,38856
18,153,191,198,2225,"2019-4-6",1300,0,1,0,9,2,4,9,7,0,1,408,31510,33062,21585,408
19,153,196,192,2240,"2019-4-6",1335,0,1,0,9,10,0,13,3,0,0,24710,21467,0,24710,21467
20,153,193,194,2225,"2019-4-6",1405,0,1,0,9,9,8,11,12,1,0,36284,27997,20201,1014,1423
21,153,197,195,2198,"2019-4-6",1800,0,1,0,9,4,5,7,9,1,1,35477,40312,38676,40312,35477
22,153,190,188,2213,"2019-4-6",1805,0,1,0,9,1,9,6,11,0,0,34213,1296,0,1296,34213
23,153,189,187,2229,"2019-4-6",1905,0,1,0,9,9,2,15,9,1,0,21432,34732,21888,21432,34732
24,153,191,198,2229,"2019-4-7",1300,0,1,0,9,7,3,13,8,0,2,38229,36348,0,38229,36348
25,153,197,195,2235,"2019-4-7",1300,0,1,0,10,3,4,7,12,0,0,608,1698,0,39040,31646
26,153,190,188,2268,"2019-4-7",1305,0,1,0,10,5,4,9,9,1,1,39733,33516,36482,33230,1633
