league_id,start_date,type,event_over,deleted,name,gender,needs_human_action
153,"2019-4-4",12,0,0,"OPENING DAY",0,0
153,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
153,"2019-5-22",29,0,0,"2019 All-Star Voting Begins",0,0
153,"2019-7-8",14,0,0,"2019 All-Star Teams announced",0,0
153,"2019-7-10",20,0,0,"2019 All-Star Game",0,0
153,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
154,"2019-4-5",12,0,0,"OPENING DAY",0,0
154,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
154,"2019-5-12",29,0,0,"2019 All-Star Voting Begins",0,0
154,"2019-6-17",14,0,0,"2019 All-Star Teams announced",0,0
154,"2019-6-19",20,0,0,"2019 All-Star Game",0,0
154,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
155,"2019-4-4",12,0,0,"OPENING DAY",0,0
155,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
155,"2019-5-15",29,0,0,"2019 All-Star Voting Begins",0,0
155,"2019-6-23",14,0,0,"2019 All-Star Teams announced",0,0
155,"2019-6-25",20,0,0,"2019 All-Star Game",0,0
155,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
156,"2019-4-4",12,0,0,"OPENING DAY",0,0
156,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
156,"2019-5-11",29,0,0,"2019 All-Star Voting Begins",0,0
156,"2019-6-16",14,0,0,"2019 All-Star Teams announced",0,0
156,"2019-6-18",20,0,0,"2019 All-Star Game",0,0
156,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
157,"2019-4-4",12,0,0,"OPENING DAY",0,0
157,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
157,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
158,"2019-4-4",12,0,0,"OPENING DAY",0,0
158,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
158,"2019-5-10",29,0,0,"2019 All-Star Voting Begins",0,0
158,"2019-6-13",14,0,0,"2019 All-Star Teams announced",0,0
158,"2019-6-15",20,0,0,"2019 All-Star Game",0,0
158,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
159,"2019-4-4",12,0,0,"OPENING DAY",0,0
159,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
159,"2019-5-11",29,0,0,"2019 All-Star Voting Begins",0,0
150,"2019-3-20",12,0,0,"OPENING DAY",0,0
150,"2019-3-25",104,0,0,"Player of the Week Award Announcement, Week no. 12",0,0
150,"2019-4-1",104,0,0,"Player of the Week Award Announcement, Week no. 13",0,0
150,"2019-4-8",104,0,0,"Player of the Week Award Announcement, Week no. 14",0,0
150,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
150,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
150,"2019-4-29",104,0,0,"Player of the Week Award Announcement, Week no. 17",0,0
150,"2019-5-14",29,0,0,"2019 All-Star Voting Begins",0,0
150,"2019-7-7",14,0,0,"2019 All-Star Teams announced",0,0
150,"2019-7-9",20,0,0,"2019 All-Star Game",0,0
150,"2019-5-1",101,0,0,"Batter of the Month Award Announcement",0,0
151,"2019-4-4",12,0,0,"OPENING DAY",0,0
151,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
151,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
152,"2019-4-4",12,0,0,"OPENING DAY",0,0
152,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
150,"2019-5-1",102,0,0,"Pitcher of the Month Award Announcement",0,0
150,"2019-5-1",103,0,0,"Rookie of the Month Award Announcement",0,0
150,"2019-5-6",104,0,0,"Player of the Week Award Announcement, Week no. 18",0,0
152,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
159,"2019-6-16",14,0,0,"2019 All-Star Teams announced",0,0
159,"2019-6-18",20,0,0,"2019 All-Star Game",0,0
159,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
160,"2019-4-4",12,0,0,"OPENING DAY",0,0
160,"2019-4-15",104,0,0,"Player of the Week Award Announcement, Week no. 15",0,0
160,"2019-5-11",29,0,0,"2019 All-Star Voting Begins",0,0
160,"2019-6-16",14,0,0,"2019 All-Star Teams announced",0,0
160,"2019-6-18",20,0,0,"2019 All-Star Game",0,0
160,"2019-4-22",104,0,0,"Player of the Week Award Announcement, Week no. 16",0,0
161,"2019-6-14",12,0,0,"OPENING DAY",0,0
161,"2019-6-24",104,0,0,"Player of the Week Award Announcement, Week no. 25",0,0
161,"2019-7-1",104,0,0,"Player of the Week Award Announcement, Week no. 26",0,0
162,"2019-6-14",12,0,0,"OPENING DAY",0,0
162,"2019-6-24",104,0,0,"Player of the Week Award Announcement, Week no. 25",0,0
162,"2019-7-1",104,0,0,"Player of the Week Award Announcement, Week no. 26",0,0
163,"2019-6-18",12,0,0,"OPENING DAY",0,0
163,"2019-6-24",104,0,0,"Player of the Week Award Announcement, Week no. 25",0,0
163,"2019-7-1",104,0,0,"Player of the Week Award Announcement, Week no. 26",0,0
164,"2019-6-17",12,0,0,"OPENING DAY",0,0
164,"2019-6-24",104,0,0,"Player of the Week Award Announcement, Week no. 25",0,0
164,"2019-7-1",104,0,0,"Player of the Week Award Announcement, Week no. 26",0,0
165,"2019-6-24",12,0,0,"OPENING DAY",0,0
165,"2019-7-1",104,0,0,"Player of the Week Award Announcement, Week no. 26",0,0
165,"2019-7-8",104,0,0,"Player of the Week Award Announcement, Week no. 27",0,0
166,"2019-6-14",12,0,0,"OPENING DAY",0,0
