year,team_id,game_id,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws,kp,bbp,wpa,babip
0,0,0,0,0,0,5372,5192,1539,80,2099,1159,225,130,25,195,0,0,1336,180,0,0,0,0,0,0,128,0,380,0,0.2964,0.3200,0.4043,719.0873,5.3149,0.1079,0.3152,0.7243,100.0000,0.0000,1.4892,3.3507,0.0000,0.2976
0,0,0,0,0,0,5843,5630,1562,95,2055,1222,209,109,22,246,0,0,1323,213,0,0,0,0,0,0,160,0,340,0,0.2774,0.3038,0.3650,679.9559,4.5130,0.0876,0.2949,0.6688,100.0000,0.0000,1.6259,3.6454,0.0000,0.2793
0,0,0,0,0,0,6782,6650,1955,119,2392,1609,266,69,11,125,56,0,1440,132,0,0,0,0,0,0,300,0,346,0,0.2940,0.3077,0.3597,746.0736,4.2399,0.0657,0.3100,0.6674,69.0608,0.0000,1.7546,1.9463,0.0000,0.2982
0,0,0,0,0,0,9177,9063,2524,133,3070,2105,316,79,24,122,60,0,1950,114,0,0,0,0,0,0,360,0,419,0,0.2785,0.2875,0.3387,888.5715,3.6356,0.0602,0.2902,0.6262,67.0330,0.0000,1.4493,1.2422,0.0000,0.2807
0,0,0,0,0,0,8665,8527,2460,140,3039,2028,305,107,20,83,61,0,1746,138,0,0,0,0,0,0,300,0,432,0,0.2885,0.2998,0.3564,912.9218,4.0223,0.0679,0.3021,0.6562,57.6389,0.0000,1.6157,1.5926,0.0000,0.2916
0,0,0,0,0,0,10181,9983,2803,132,3491,2306,337,129,31,98,38,0,2066,198,0,0,0,0,0,0,360,0,497,0,0.2808,0.2948,0.3497,1045.8072,3.9120,0.0689,0.2969,0.6445,72.0588,0.0000,1.2965,1.9448,0.0000,0.2823
0,0,0,0,0,0,10275,10160,2857,62,3572,2324,380,124,29,13,9,0,1982,115,0,0,0,0,0,0,300,0,533,0,0.2812,0.2892,0.3516,1040.6287,3.8426,0.0704,0.2920,0.6408,59.0909,0.0000,0.6034,1.1192,0.0000,0.2809
0,0,0,0,0,0,12171,12014,3126,3,3755,2635,369,106,16,0,0,0,2002,157,0,0,0,0,0,0,360,0,491,0,0.2602,0.2697,0.3126,1023.8828,3.1104,0.0524,0.2678,0.5823,0.0000,0.0000,0.0246,1.2900,0.0000,0.2593
0,0,0,0,0,0,14378,14228,3853,0,4803,3148,486,193,26,0,0,0,2625,150,0,0,0,0,0,0,576,0,705,0,0.2708,0.2784,0.3376,1348.0683,3.5082,0.0668,0.2806,0.6160,0.0000,0.0000,0.0000,1.0433,0.0000,0.2695
0,0,0,0,0,0,12642,12530,2946,0,3521,2493,347,90,16,0,0,0,1609,112,0,0,0,0,0,0,672,0,453,0,0.2351,0.2419,0.2810,858.7460,2.4193,0.0459,0.2394,0.5229,0.0000,0.0000,0.0000,0.8859,0.0000,0.2341
0,0,0,0,0,0,11886,11697,2997,275,3672,2487,365,125,20,0,0,0,1816,189,0,0,0,0,0,0,576,0,510,0,0.2562,0.2680,0.3139,997.4383,3.0955,0.0577,0.2695,0.5820,0.0000,0.0000,2.3136,1.5901,0.0000,0.2611
0,0,0,0,0,0,14001,13804,3561,314,0,0,393,105,25,0,0,0,2002,197,0,0,0,0,0,0,672,0,523,0,0.2580,0.2684,0.3071,1151.5354,3.0354,0.0491,0.0000,0.5755,0.0000,0.0000,0.0000,0.0000,0.0000,0.2626
0,0,0,0,0,0,10922,10737,2789,401,3454,2312,305,156,16,0,0,0,1574,185,0,0,0,0,0,0,576,0,477,0,0.2598,0.2723,0.3217,953.6024,3.2395,0.0619,0.2735,0.5940,0.0000,0.0000,3.6715,1.6938,0.0000,0.2687
0,0,0,0,0,0,13132,12877,3276,396,0,0,369,147,22,0,0,0,1856,255,0,0,0,0,0,0,672,0,538,0,0.2544,0.2689,0.3110,1094.7122,3.0786,0.0566,0.0000,0.5799,0.0000,0.0000,0.0000,0.0000,0.0000,0.2612
0,0,0,0,0,0,10637,10443,2539,551,3132,2103,291,133,12,0,0,0,1368,194,0,0,0,0,0,0,576,0,436,0,0.2431,0.2569,0.2999,817.6750,2.7932,0.0568,0.2575,0.5568,0.0000,0.0000,5.1800,1.8238,0.0000,0.2558
0,0,0,0,0,0,14995,14693,3870,691,0,0,463,154,32,0,0,0,2196,302,0,0,0,0,0,0,672,0,649,0,0.2634,0.2782,0.3224,1339.8032,3.3424,0.0590,0.0000,0.6006,0.0000,0.0000,0.0000,0.0000,0.0000,0.2747
0,0,0,0,0,0,14069,13829,3399,857,4316,2732,454,176,37,0,0,0,1867,240,0,0,0,0,0,0,576,0,667,0,0.2458,0.2587,0.3121,1132.4897,2.9317,0.0663,0.2589,0.5708,0.0000,0.0000,6.0914,1.7059,0.0000,0.2599
