year,team_id,game_id,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,ir,irs,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,irsp,gfp,era,pig,ws,whip,gbfbp,kbb,babip,wpa,ra9war
0,0,0,0,0,0,4596,1061,4789,1479,1413,86,0,193,1213,499,0,0,0,0,128,0,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,104,1,0,0,0,13.6230,0.3074,0.3354,0.3218,0.6572,11.9859,0.7295,0.1866,1.6371,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.2328,0.0000,0.0000,1.5137,0.0000,0.4456,0.3099,0.0000,''
0,0,0,0,0,0,5255,1189,5455,1763,1688,89,0,200,1446,556,0,0,0,0,160,0,0,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,127,3,0,0,0,14.2910,0.3212,0.3461,0.3355,0.6816,12.7771,0.6737,0.1892,1.5139,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.2086,0.0000,0.0000,1.5879,0.0000,0.4450,0.3235,0.0000,''
0,0,0,0,0,0,6048,1386,6154,1935,1890,0,0,106,1392,557,0,0,0,0,300,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,140,4,0,0,0,12.9610,0.3125,0.3243,0.3199,0.6443,12.2727,0.0000,0.0974,0.6883,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.6169,0.0000,0.0000,1.4401,0.0000,0.0000,0.3108,0.0000,''
0,0,0,0,0,0,8283,1898,8423,2649,2589,0,0,140,1998,800,0,0,0,0,360,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,189,6,0,0,0,12.9405,0.3126,0.3240,0.3198,0.6438,12.2766,0.0000,0.0948,0.6639,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.7935,0.0000,0.0000,1.4378,0.0000,0.0000,0.3109,0.0000,''
0,0,0,0,0,0,8168,1823,8316,2798,2699,87,0,148,2060,734,0,0,0,0,300,0,0,0,4,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,181,4,0,0,0,14.0554,0.3304,0.3424,0.3426,0.6849,13.3247,0.4295,0.1629,0.7307,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.6237,0.0000,0.0000,1.5617,0.0000,0.5878,0.3313,0.0000,''
0,0,0,0,0,0,9278,2119,9478,2999,2921,153,0,200,2123,802,0,0,0,0,360,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,222,4,0,0,0,13.2558,0.3148,0.3293,0.3232,0.6525,12.4063,0.6498,0.1104,0.8495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4063,0.0000,0.0000,1.4729,0.0000,0.7650,0.3182,0.0000,''
0,0,0,0,0,0,9665,2206,9790,3122,3047,7,0,125,2128,839,0,0,0,0,300,0,0,0,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,232,4,0,0,0,12.9411,0.3153,0.3240,0.3230,0.6470,12.4311,0.0286,0.1020,0.5100,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.4229,0.0000,0.0000,1.4379,0.0000,0.0560,0.3137,0.0000,''
0,0,0,0,0,0,11482,2668,11644,3586,3478,0,0,162,2429,971,0,0,0,0,360,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,286,11,0,0,0,12.2789,0.3029,0.3126,0.3123,0.6249,11.7324,0.0000,0.1214,0.5465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2755,0.0000,0.0000,1.3643,0.0000,0.0000,0.3007,0.0000,''
0,0,0,0,0,0,12919,3182,13049,3430,3373,0,0,130,1883,755,0,0,0,0,576,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,321,34,0,0,0,9.9079,0.2611,0.2684,0.2655,0.5340,9.5402,0.0000,0.0537,0.3677,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.1354,0.0000,0.0000,1.1009,0.0000,0.0000,0.2600,0.0000,''
0,0,0,0,0,0,12450,3008,12582,3495,3426,0,0,132,2351,938,0,0,0,0,672,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,300,16,0,0,0,10.6456,0.2752,0.2828,0.2807,0.5635,10.2507,0.0000,0.0688,0.3949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8065,0.0000,0.0000,1.1828,0.0000,0.0000,0.2738,0.0000,''
