league_id,name,abbr,nation_id,language_id,gender,historical_league,logo_file_name,players_path,start_date,preferred_start_date,pitcher_award_name,mvp_award_name,rookie_award_name,defense_award_name,fictional_players,start_fantasy_draft,trading_deadline,winter_meetings,arbitration_offering,show_draft_pool,rosters_expanded,draft_date,rule_5_draft_date,roster_expand_date,trade_deadline_date,allstar_date,days_until_deadline,next_draft_type,parent_league_id,league_state,season_year,historical_year,league_level,stats_detail,historical_import_path,foreigner_percentage,was_ootp6,was_65,allstar_game,auto_schedule_allstar,allstar_team_id0,allstar_team_id1,schedule_file_1,schedule_file_2,rules_rule_5,rules_minor_league_options,rules_trading,rules_draft_pick_trading,rules_financials,rules_amateur_draft,rules_fa_compensation,rules_schedule_balanced,rules_schedule_inter_league,rules_schedule_force_start_day,rules_trades_other_leagues,rules_free_agents_from_other_leagues,rules_free_agents_leave_other_leagues,rules_allstar_game,rules_spring_training,rules_active_roster_limit,rules_secondary_roster_limit,rules_expanded_roster_limit,rules_min_service_days,rules_waiver_period_length,rules_dfa_period_length,rules_fa_minimum_years,rules_salary_arbitration_minimum_years,rules_minor_league_fa_minimum_years,rules_foreigner_limit,rules_foreigner_pitcher_limit,rules_foreigner_hitter_limit,rules_schedule_games_per_team,rules_schedule_typical_series,rules_schedule_preferred_start_day,rules_amateur_draft_rounds,rules_minimum_salary,rules_salary_cap,rules_player_salary0,rules_player_salary1,rules_player_salary2,rules_player_salary3,rules_player_salary4,rules_player_salary5,rules_player_salary6,rules_player_salary7,rules_average_coach_salary,rules_average_attendance,rules_average_national_media_contract,rules_cash_maximum,rules_average_ticket_price,rules_revenue_sharing,rules_national_media_contract_fixed,rules_owner_decides_budget,rules_schedule_auto_adjust_dates,rules_historical_import_rookies,avg_rating_contact,avg_rating_gap,avg_rating_power,avg_rating_eye,avg_rating_strikeouts,avg_rating_stuff,avg_rating_movement,avg_rating_control,avg_rating_fielding0,avg_rating_fielding1,avg_rating_fielding2,avg_rating_fielding3,avg_rating_fielding4,avg_rating_fielding5,avg_rating_fielding6,avg_rating_fielding7,avg_rating_fielding8,avg_rating_fielding9,avg_rating_overall,avg_rating_age,league_totals_ab,league_totals_h,league_totals_d,league_totals_t,league_totals_hr,league_totals_bb,league_totals_hp,league_totals_k,league_totals_pa,league_totals_babip,league_totals_mod_h,league_totals_mod_d,league_totals_mod_t,league_totals_mod_hr,league_totals_mod_bb,league_totals_mod_hp,league_totals_mod_k,league_totals_mod_babip,ml_equivalencies_avg,ml_equivalencies_hr,ml_equivalencies_eb,ml_equivalencies_bb,ml_equivalencies_k,ml_equivalencies_hp,player_creation_modifier_contact,player_creation_modifier_gap,player_creation_modifier_power,player_creation_modifier_eye,player_creation_modifier_strikeouts,player_creation_modifier_stuff,player_creation_modifier_movement,player_creation_modifier_control,player_creation_modifier_speed,player_creation_modifier_fielding,financial_coefficient,world_start_year,current_date,background_color_id,text_color_id,scouting_coach_id
150,"Major League Baseball","MLB",206,0,0,1,"major_league_baseball.png","","2019-3-20","2019-3-20","Cy Young Award","Most Valuable Player Award","Rookie of the Year Award","Great Glove Award",0,0,0,0,0,0,0,"2019-6-4","2019-12-13","2019-9-1","2019-7-31","2019-7-9",95,0,0,2,2019,2019,1,3,"c:\svn\ootp20\data\stats",40,0,0,1,1,85,86,"major_league_ml_c_2019.lsdl","",1,1,1,0,1,1,3,0,1,1,0,1,1,1,1,25,40,40,172,3,7,6,3,6,0,0,0,162,3,4,35,555000,0,800000,2000000,3500000,5500000,8000000,11000000,15000000,20000000,400000,31000,50000000,10000000,30.0000,1,1,1,1,0,107,122,115,103,80,157,104,113,0,133,132,125,118,111,120,125,141,115,117,28.8236,165432,41800,8265,847,5585,15686,1922,41207,183040,0.2987,1.0354,1.1063,0.9631,0.9107,1.0160,1.1384,1.0487,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2019,"2019-4-27","#808080","#FFFFFF",-2
151,"International League","IL",206,0,0,0,"international_league.png","","2019-4-4","2019-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2019-6-15","2019-12-1","2019-9-1","2019-7-31",NULL,-1,0,150,2,2019,2019,2,1,"",10,0,0,0,1,0,0,"international_league_aaa_c_2019.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,141,3,5,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0.0000,0,0,0,1,0,88,106,85,90,66,126,93,108,0,117,103,97,105,82,105,89,106,104,99,27.4036,66111,16973,3357,366,1663,6221,665,15679,72997,0.3181,1.0353,1.0991,0.9022,0.6598,1.0729,0.7145,1.0146,1.0000,0.8500,0.8000,0.8500,0.8500,0.8500,0.8500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2019,"2019-4-27","#860037","#FFFFFF",-2
152,"Pacific Coast League","PCL",206,0,0,0,"pacific_coast_league.png","","2019-4-4","2019-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2019-6-15","2019-12-1","2019-9-1","2019-7-31","2019-7-10",-1,0,150,2,2019,2019,2,1,"",10,0,0,1,1,343,344,"pacific_coast_league_aaa_c_2019.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,141,3,5,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0.0000,0,0,0,1,0,89,104,83,85,72,124,97,103,0,121,127,101,89,78,89,92,110,100,97,27.7023,76690,20996,4203,610,2252,7414,822,17061,84926,0.3181,1.1117,1.1790,1.1917,0.9991,1.1656,0.8812,0.9577,1.0000,0.8500,0.8000,0.8500,0.8500,0.8500,0.8500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2019,"2019-4-27","#8A2529","#FFFFFF",-2
153,"Eastern League","EL",206,0,0,0,"eastern_league.png","","2019-4-4","2019-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2019-6-15","2019-12-1","2019-9-1","2019-7-31","2019-7-10",-1,0,150,2,2019,2019,3,1,"",10,0,0,1,1,345,346,"eastern_league_aa_c_2019.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,141,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0.0000,0,0,0,1,0,77,91,68,82,57,116,86,98,0,107,117,112,92,87,110,91,113,98,88,25.0990,55092,14276,2795,332,1383,5395,632,12211,61119,0.3137,1.0134,1.2458,0.9995,0.8025,1.1766,1.1690,0.9398,1.0000,0.8000,0.7500,0.8000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2019,"2019-4-27","#004A8D","#FFFFFF",-2
154,"Southern League","SL",206,0,0,0,"southern_league.png","","2019-4-5","2019-4-5","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2019-6-15","2019-12-1","2019-9-1","2019-7-31","2019-6-19",-1,0,150,2,2019,2019,3,1,"",10,0,0,1,1,347,348,"southern_league_aa_c_2018.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,141,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0.0000,0,0,0,1,0,78,90,62,82,61,123,87,91,0,115,117,123,90,82,94,82,96,78,87,25.1777,45420,11111,2208,271,936,4700,591,11074,50711,0.3137,0.9906,1.2664,0.9485,0.6304,1.2003,1.2791,1.0554,1.0000,0.8000,0.7500,0.8000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2019,"2019-4-27","#004739","#00295D",-2
155,"Texas League","TEX",206,0,0,0,"texas_league.png","","2019-4-4","2019-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2019-6-15","2019-12-1","2019-9-1","2019-7-31","2019-6-25",-1,0,150,2,2019,2019,3,1,"",10,0,0,1,1,349,350,"texas_league_aa_c_2019.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,139,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0.0000,0,0,0,1,0,80,90,65,80,64,121,89,95,0,105,121,113,100,90,86,85,66,79,88,24.8559,37731,9795,1785,186,875,3402,508,8501,41641,0.3137,1.0611,1.1771,0.6269,0.7449,0.9689,1.5091,0.8667,1.0000,0.8000,0.7500,0.8000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2019,"2019-4-27","#0055A5","#FFFFFF",-2
156,"California League","CAL",206,0,0,0,"california_league.png","","2019-4-4","2019-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2019-6-15","2019-12-1","2019-9-1","2019-7-31","2019-6-18",-1,0,150,2,2019,2019,4,1,"",10,0,0,1,1,351,352,"california_league_a_c_2019.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,141,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0.0000,0,0,0,1,0,66,80,60,70,46,111,81,83,0,110,98,100,85,77,100,111,104,88,78,24.0982,38704,10259,2065,346,941,3496,497,9866,42697,0.3137,1.2463,1.2809,1.5750,1.0385,0.9905,1.4325,1.1595,1.0000,0.7700,0.7000,0.7700,0.7700,0.7700,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2019,"2019-4-27","#25358E","#FFFFFF",-2
157,"Carolina League","CAR",206,0,0,0,"carolina_league.png","","2019-4-4","2019-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2019-6-15","2019-12-1","2019-9-1","2019-7-31","2019-6-18",-1,0,150,2,2019,2019,4,1,"",10,0,0,1,0,353,354,"carolina_league_a_c_2019.lsdl","",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,141,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0.0000,0,0,0,1,0,67,78,58,73,49,106,77,85,0,107,100,103,90,70,86,104,101,106,77,23.9881,45615,11454,2349,322,965,4507,611,11216,50733,0.3137,1.1158,1.2754,1.2619,0.7712,1.1320,1.4693,1.1170,1.0000,0.7700,0.7000,0.7700,0.7700,0.7700,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2019,"2019-4-27","#72103C","#FFFFFF",-2
158,"Florida State League","FSL",206,0,0,0,"florida_state_league.png","","2019-4-4","2019-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2019-6-15","2019-12-1","2019-9-1","2019-7-31","2019-6-15",-1,0,150,2,2019,2019,4,1,"",10,0,0,1,1,355,356,"florida_state_league_a_c_2019.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,141,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0.0000,0,0,0,1,0,64,70,52,69,50,105,78,81,0,105,119,111,98,88,106,102,97,93,74,23.6094,53412,13374,2435,374,894,4827,816,12873,59055,0.3137,1.1314,1.2564,1.2460,0.4860,1.0077,1.9023,1.0931,1.0000,0.7700,0.7000,0.7700,0.7700,0.7700,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2019,"2019-4-27","#F58220","#FFFFFF",-2
159,"Midwest League","MID",206,0,0,0,"midwest_league.png","","2019-4-4","2019-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2019-6-15","2019-12-1","2019-9-1","2019-7-31","2019-6-18",-1,0,150,2,2019,2019,4,1,"",10,0,0,1,1,357,358,"midwest_league_a_c_2019.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,141,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0.0000,0,0,0,1,0,61,68,49,64,44,94,76,69,0,107,104,107,99,74,89,115,109,96,68,22.9861,73814,18442,3690,587,1562,7303,1063,18496,82180,0.3137,1.1535,1.4101,1.7165,0.9076,1.1380,1.8175,1.2063,1.0000,0.7500,0.7000,0.7500,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2019,"2019-4-27","#004D91","#FFFFFF",-2
