nation_id,name,short_name,abbreviation,demonym,population,gender,baseball_quality,continent_id,main_language_id,quality_total,capital_id,use_hardcoded_ml_player_origins,this_is_the_usa
1,"Afghanistan","Afghanistan","AFG","Afghan",29863010,0,0,2,17,1,36236,0,0
248,"Åland","Åland","ALD","Ålander",27700,0,0,3,12,1,46232,0,0
2,"Albania","Albania","ALB","Albanian",3195000,0,0,3,21,1,80119,0,0
3,"Algeria","Algeria","ALG","Algerian",34895000,0,0,1,17,1,1581,0,0
4,"American Samoa","American Samoa","ASA","American Samoan",67000,0,2,5,30,10,77949,0,0
5,"Andorra","Andorra","AND","Andorran",86000,0,0,3,1,1,2953,0,0
6,"Angola","Angola","ANG","Angolan",18498000,0,0,1,5,1,41583,0,0
7,"Anguilla","Anguilla","AIA","Anguillan",15000,0,0,4,20,1,56210,0,0
8,"Antigua & Barbuda","Antigua & Barbuda","ATG","Antiguan",88000,0,0,4,20,1,69076,0,0
9,"Argentina","Argentina","ARG","Argentine",40091359,0,3,6,1,50,12296,0,0
10,"Armenia","Armenia","ARM","Armenian",3230100,0,1,3,26,2,88682,0,0
11,"Aruba","Aruba","ARU","Aruban",107000,0,4,4,6,250,57516,0,0
12,"Australia","Australia","AUS","Australian",22577728,0,4,5,28,250,77266,0,0
13,"Austria","Austria","AUT","Austrian",8372930,0,2,3,31,10,85386,0,0
14,"Azerbaijan","Azerbaijan","AZE","Azeri",8896900,0,0,3,29,1,6356,0,0
240,"Azores","Azores","AZR","Azorean",235374,0,0,3,5,1,60197,0,0
15,"Bahamas","Bahamas","BAH","Bahaman",342000,0,2,4,20,10,54308,0,0
16,"Bahrain","Bahrain","BHR","Bahraini",791000,0,0,2,17,1,47492,0,0
17,"Bangladesh","Bangladesh","BAN","Bangladeshi",162221000,0,0,2,37,1,20405,0,0
18,"Barbados","Barbados","BRB","Barbadian",256000,0,1,4,20,2,11679,0,0
19,"Belarus","Belarus","BLR","Belarusian",9755106,0,1,3,13,2,50557,0,0
20,"Belgium","Belgium","BEL","Belgian",10827519,0,2,3,6,10,12042,0,0
21,"Belize","Belize","BLZ","Belizean",322100,0,2,4,20,10,8286,0,0
22,"Bénin","Bénin","BEN","Béninois",8935000,0,0,1,19,1,15299,0,0
23,"Bermuda","Bermuda","BER","Bermudan",65000,0,1,4,20,2,69046,0,0
24,"Bhutan","Bhutan","BHU","Bhutanese",2162546,0,0,2,27,1,79648,0,0
25,"Bolivia","Bolivia","BOL","Bolivian",9879000,0,1,6,1,2,71061,0,0
26,"Bosnia & Herzegovina","Bosnia & Herzegovina","BIH","Bosnian",3781000,0,0,3,22,1,71580,0,0
27,"Botswana","Botswana","BOT","Motswana",1950000,0,0,1,19,1,27413,0,0
28,"Brazil","Brazil","BRA","Brazilian",194116780,0,3,6,5,50,67471,0,0
29,"British Virgin Islands","British Virgin Islands","VGB","British Virgin Islander",23000,0,1,4,20,2,66577,0,0
30,"Brunei","Brunei","BRU","Bruneian",400000,0,1,2,36,2,6807,0,0
31,"Bulgaria","Bulgaria","BUL","Bulgarian",7576751,0,2,3,22,10,74811,0,0
