park_id,dimensions_x,dimensions_y,batter_left_x,batter_left_y,batter_right_x,batter_right_y,bases_x0,bases_x1,bases_x2,bases_y0,bases_y1,bases_y2,positions_x0,positions_x1,positions_x2,positions_x3,positions_x4,positions_x5,positions_x6,positions_x7,positions_x8,positions_x9,positions_y0,positions_y1,positions_y2,positions_y3,positions_y4,positions_y5,positions_y6,positions_y7,positions_y8,positions_y9,avg,avg_l,avg_r,d,t,hr,hr_r,hr_l,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,rain0,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,wind,wind_direction,distances0,distances1,distances2,distances3,distances4,distances5,distances6,wall_heights0,wall_heights1,wall_heights2,wall_heights3,wall_heights4,wall_heights5,wall_heights6,name,picture,picture_night,nation_id,capacity,type,foul_ground,turf,gender,relative_path_3d_model,file_name_3d_model,home_team_dugout_is_at_first_base
1,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0670,1.0670,1.0670,0.9940,1.1730,1.3790,1.3790,1.3790,56,60,65,71,81,90,95,93,87,75,63,56,2,2,2,1,0,0,0,2,1,1,1,2,6,3,330,360,385,405,385,360,330,10,10,10,10,10,10,10,"Salt River Fields at Talking Stick","default_grass.jpg","default_grass.jpg",0,11000,0,0,0,0,"","",1
2,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.8500,0.8500,0.8500,0.9400,0.9400,0.8000,0.8000,0.8000,58,59,60,63,65,67,71,73,72,68,62,58,3,3,3,2,1,0,0,0,0,1,2,2,7,2,330,352,373,397,374,352,330,10,10,10,10,10,10,10,"AirHogs Stadium","default_grass.jpg","default_grass.jpg",0,5445,0,0,0,0,"","",1
3,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.8985,0.9050,0.8950,0.9320,0.9100,0.8950,0.8950,0.8950,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,6,319,361,393,425,392,351,319,7,7,7,11,7,7,7,"AAA Timerwolves Park","default_grass.jpg","default_grass.jpg",0,11026,0,0,0,0,"","",1
4,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9820,0.8650,1.0450,0.8100,0.6700,1.1250,1.1950,0.9950,70,70,70,70,70,70,70,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,6,296,319,338,406,354,330,305,9,9,9,9,9,17,17,"Spring Ballpark","default_grass.jpg","default_grass.jpg",0,5000,0,0,0,0,"","",1
5,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0140,0.9100,1.0700,0.9980,1.0200,0.9935,1.0600,0.8700,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,3,318,347,394,424,401,367,323,9,9,9,13,13,17,17,"El Toro Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
6,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.1135,1.1200,1.1100,0.9680,1.0100,1.0965,1.1000,1.0900,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,3,327,359,392,417,381,348,329,10,10,10,10,10,10,10,"Texas Rangers Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
7,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0435,1.0500,1.0400,1.0180,1.0200,1.0365,1.0400,1.0300,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,7,334,357,399,425,393,355,322,9,9,9,15,9,9,9,"Kansas City Royals Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
8,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9615,0.8900,1.0000,1.0380,1.0000,0.9315,0.9700,0.8600,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,8,326,355,398,425,406,366,328,10,10,10,14,10,18,18,"New York Mets Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
9,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0190,1.0450,1.0050,0.8820,0.8500,1.0850,1.0850,1.0850,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,5,321,347,381,421,380,342,314,9,9,9,9,9,9,9,"Houston Astros Complex Orange","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
10,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0190,1.0450,1.0050,1.0340,1.0600,0.9720,0.9650,0.9850,76,76,77,79,80,81,81,81,81,80,79,77,2,2,2,3,7,6,6,6,7,7,4,3,13,3,338,368,413,429,409,369,329,10,10,10,10,10,10,10,"Las Palmas Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
