player_id,team_id,league_id,position,role,fielding_ratings_infield_range,fielding_ratings_infield_arm,fielding_ratings_turn_doubleplay,fielding_ratings_outfield_range,fielding_ratings_outfield_arm,fielding_ratings_catcher_arm,fielding_ratings_catcher_ability,fielding_ratings_infield_error,fielding_ratings_outfield_error,fielding_experience0,fielding_experience1,fielding_experience2,fielding_experience3,fielding_experience4,fielding_experience5,fielding_experience6,fielding_experience7,fielding_experience8,fielding_experience9,fielding_rating_pos1,fielding_rating_pos2,fielding_rating_pos3,fielding_rating_pos4,fielding_rating_pos5,fielding_rating_pos6,fielding_rating_pos7,fielding_rating_pos8,fielding_rating_pos9
1,0,0,3,0,56,49,44,13,78,95,70,100,80,0,0,105,200,0,0,0,0,0,0,0,35,120,0,0,0,0,0,0
2,172,152,3,0,68,108,55,81,102,1,1,72,107,0,0,0,200,0,0,0,12,0,0,0,0,122,0,0,0,5,0,0
3,0,0,1,12,40,108,40,90,108,3,9,81,40,0,200,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0
4,268,160,5,0,116,114,120,47,14,8,6,138,60,0,0,0,0,0,200,38,0,0,0,0,0,0,0,104,16,0,0,0
5,0,0,1,12,65,52,61,5,5,1,1,100,5,0,150,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0
6,35,150,1,11,38,109,22,55,122,8,1,74,35,0,200,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0
7,169,151,1,12,37,68,26,30,25,3,1,47,40,0,200,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0
8,0,0,1,11,44,111,65,5,5,3,1,69,5,0,200,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0
9,39,150,1,11,108,109,17,53,68,1,5,29,38,0,200,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0
10,39,150,1,11,26,75,24,19,11,8,1,67,41,0,200,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0
11,237,158,1,11,78,42,23,31,38,4,1,30,31,0,154,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0
12,36,150,7,0,55,89,27,80,108,80,89,79,84,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,86,0,0
13,174,152,1,11,50,40,18,45,51,1,8,44,11,0,200,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0
14,0,0,1,12,15,100,34,26,97,4,3,30,1,0,150,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
15,60,150,6,0,142,130,114,138,115,8,8,120,105,0,0,0,0,0,0,200,0,17,0,0,0,0,0,0,107,0,8,0
16,49,150,7,0,61,118,59,128,136,4,9,55,122,0,0,0,0,0,0,0,200,175,200,0,0,0,0,0,0,155,73,136
17,0,0,5,0,94,184,64,63,31,2,5,107,33,0,0,0,143,172,200,138,0,0,0,0,0,112,67,125,29,0,0,0
18,32,150,1,11,38,65,29,92,54,11,1,25,11,0,200,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
19,51,150,1,11,68,84,27,14,65,7,1,148,54,0,200,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0
20,52,150,1,12,50,88,32,41,88,1,4,37,67,0,200,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
21,200,154,1,13,23,83,20,45,25,9,5,24,42,0,200,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
22,178,152,7,0,44,91,20,115,125,10,7,64,133,0,0,0,0,0,0,0,190,197,55,0,0,0,0,0,0,132,61,33
23,205,154,1,11,57,95,6,63,44,1,8,89,30,0,153,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0
24,178,152,3,0,51,119,22,26,40,6,4,82,45,0,0,0,200,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0
25,0,0,1,12,40,100,44,22,58,1,1,95,7,0,200,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0
26,35,150,1,12,47,99,10,4,51,1,6,44,59,0,200,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
