player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr
2,2019,172,3007,152,2,0,3,5,2,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313,0,-0.0202
2,2019,172,3262,152,2,0,3,5,3,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0364,0,-0.0618
2,2019,172,3270,152,2,0,3,5,1,0,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.0018,0,0.0000
2,2019,172,3278,152,2,0,3,4,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0403,0,0.0000
2,2019,172,3294,152,2,0,3,4,0,1,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0002,0,0.0021
2,2019,172,3303,152,2,0,3,5,2,1,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0868,0,-0.0266
2,2019,172,3311,152,2,0,3,4,1,0,6,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,-0.0040,0,0.0000
2,2019,172,3318,152,2,0,3,4,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153,0,0.0000
2,2019,172,3353,152,2,0,3,4,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0455,0,0.0000
2,2019,172,3343,152,2,0,3,3,1,1,4,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,-0.0033,0,-0.0844
2,2019,172,3366,152,2,0,3,4,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0174,0,0.0000
2,2019,172,3367,152,2,0,3,3,0,0,4,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,-0.0001,0,0.3161
2,2019,172,3383,152,2,0,3,5,1,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0659,0,0.0000
