player_id,league_id,streak_id,value,has_ended,started,ended
2,152,1,3,1,"2019-4-8","2019-4-11"
2,152,0,6,1,"2019-4-9","2019-4-17"
2,152,0,4,0,"2019-4-19",NULL
2,152,3,1,1,"2019-4-20","2019-4-21"
2,152,1,2,0,"2019-4-21",NULL
2,152,3,1,0,"2019-4-24",NULL
4,160,3,2,1,"2019-4-5","2019-4-16"
4,160,0,2,1,"2019-4-17","2019-4-20"
4,160,2,1,1,"2019-4-19","2019-4-20"
4,160,1,1,1,"2019-4-19","2019-4-20"
4,160,0,1,0,"2019-4-24",NULL
4,160,3,1,0,"2019-4-24",NULL
6,150,6,1,1,"2019-3-28","2019-4-3"
6,150,5,1,1,"2019-4-3","2019-4-9"
6,150,6,2,0,"2019-4-9",NULL
6,150,7,1,1,"2019-4-14","2019-4-19"
6,150,7,1,0,"2019-4-24",NULL
7,154,5,1,1,"2019-4-8","2019-4-18"
7,154,6,1,0,"2019-4-18",NULL
7,154,4,1,0,"2019-4-19",NULL
9,150,7,5,0,"2019-3-30",NULL
9,150,0,1,1,"2019-4-10","2019-4-15"
9,150,1,1,0,"2019-4-21",NULL
9,150,5,1,0,"2019-4-21",NULL
10,150,5,1,0,"2019-4-1",NULL
10,150,7,1,0,"2019-4-1",NULL
11,158,5,3,0,"2019-4-7",NULL
11,158,7,4,0,"2019-4-7",NULL
12,150,0,2,1,"2019-3-28","2019-3-31"
12,150,2,1,1,"2019-3-28","2019-3-30"
12,150,3,1,1,"2019-3-28","2019-3-30"
12,150,1,1,1,"2019-3-31","2019-4-1"
13,152,5,1,1,"2019-4-5","2019-4-15"
13,152,7,2,1,"2019-4-5","2019-4-15"
13,152,6,2,0,"2019-4-15",NULL
15,150,2,1,1,"2019-4-3","2019-4-4"
15,150,0,5,1,"2019-4-12","2019-4-18"
15,150,1,4,1,"2019-4-13","2019-4-18"
15,150,0,4,0,"2019-4-22",NULL
15,150,3,1,1,"2019-4-24","2019-4-24"
15,150,3,1,0,"2019-4-26",NULL
16,150,0,5,1,"2019-4-1","2019-4-7"
16,150,3,4,1,"2019-4-2","2019-4-7"
16,150,2,3,1,"2019-4-22","2019-4-26"
16,150,1,3,1,"2019-4-22","2019-4-26"
18,150,5,1,1,"2019-3-31","2019-4-6"
18,150,7,1,1,"2019-3-31","2019-4-6"
18,150,6,1,1,"2019-4-6","2019-4-11"
