player_id,team_id,league_id,position,role,offensive_value,offensive_value_talent,offensive_value_vsl,offensive_value_vsr,pitching_value,pitching_value_talent,pitching_value_vsl,pitching_value_vsr,overall_value,talent_value,career_value,leadoff_value_vsl,leadoff_value_vsr,running_value,stealing_value,season_performance,stats_value_0,stats_value_1,stats_value_2,stats_mod_0,stats_mod_1,stats_mod_2,ratings_value,overall_sp,overall_rp,overall_c,overall_1b,overall_2b,overall_3b,overall_ss,overall_lf,overall_cf,overall_rf,award_bat,award_pit,award_field,oa,pot
2,172,152,3,0,823,938,768,844,0,0,0,0,759,903,832,368,390,94,3,-1.1068,680,804,737,20,89,97,771,1,1,710,759,710,710,710,710,710,710,-5.0564,0.0000,621.2698,31,37
4,268,160,5,0,469,811,446,471,0,0,0,0,408,877,662,294,314,116,8,1.2859,0,345,0,0,98,0,492,1,1,354,354,354,408,354,354,354,354,44.4264,0.0000,580.9241,20,39
6,35,150,1,11,98,89,105,100,1062,1062,1151,1155,1046,1062,1054,140,137,39,0,-1.9172,0,0,0,0,0,0,1062,1046,702,1,1,1,1,1,1,1,1,0.0000,37.1996,605.2222,48,48
7,169,151,1,12,39,26,6,43,731,653,712,731,699,653,676,133,141,37,0,2.3557,0,0,0,0,0,0,731,699,493,1,1,1,1,1,1,1,1,0.0000,29.9635,495.1274,28,28
9,39,150,1,11,305,299,279,314,1015,1008,1108,1078,1059,1008,1034,182,188,64,2,1.1400,0,446,446,0,15,12,1015,1059,654,208,208,208,208,208,208,208,208,0.0000,65.1740,611.5822,49,49
10,39,150,1,11,2,2,2,2,987,983,928,1001,970,983,977,117,108,49,0,0.0000,0,0,0,0,0,0,987,970,593,1,1,1,1,1,1,1,1,0.0000,27.7514,600.2841,44,44
11,237,158,1,11,1,1,1,1,382,241,359,403,417,407,412,105,100,73,1,1.5341,0,0,0,0,0,0,382,417,408,1,1,1,1,1,1,1,1,0.0000,65.7870,594.8329,20,20
12,36,150,7,0,1148,1147,996,1193,0,0,0,0,1108,1111,1175,338,351,79,2,0.0000,0,1132,1115,0,100,100,1076,1,1,1044,1044,1044,1044,1044,1108,1044,1044,-2.2664,0.0000,592.4417,51,51
13,174,152,1,11,57,139,78,50,865,1024,875,865,851,1024,938,160,146,52,1,1.6722,0,0,0,0,0,0,865,851,554,1,1,1,1,1,1,1,1,0.0000,58.9958,613.3127,38,44
15,60,150,6,0,1111,1076,1038,1133,0,0,0,0,1235,1193,1235,737,684,184,44,-0.9600,966,1184,1220,22,100,92,1228,1,1,1018,1018,1018,1018,1235,1018,1019,1018,23.9334,0.0000,620.9041,60,60
16,49,150,7,0,1207,1213,932,1293,0,0,0,0,1281,1269,1275,358,409,112,3,2.6090,1455,1181,1380,23,100,91,1263,1,1,1125,1125,1125,1125,1125,1281,1217,1242,119.7891,0.0000,654.7897,65,65
18,32,150,1,11,174,169,156,174,1031,1088,1037,1031,1046,1088,1067,169,172,28,1,1.4568,0,446,0,0,11,0,1031,1046,630,79,79,79,79,79,79,79,79,0.0000,85.2691,632.8165,48,49
19,51,150,1,11,243,220,248,238,1317,1311,1423,1424,1337,1311,1324,205,203,37,0,3.2171,0,446,446,0,14,11,1317,1337,869,147,147,147,147,147,147,147,147,0.0000,140.6849,560.3192,67,67
20,52,150,1,12,2,2,2,2,699,758,962,1031,666,752,729,143,141,39,0,2.6495,0,0,0,0,0,0,699,700,666,1,1,1,1,1,1,1,1,0.0000,23.0071,400.3601,46,52
21,200,154,1,13,146,210,161,135,666,743,879,1022,579,662,718,173,166,50,1,-2.3691,0,0,0,0,0,0,666,693,579,46,46,46,46,46,46,46,46,0.0000,5.0885,400.0000,37,43
22,178,152,7,0,915,911,804,941,0,0,0,0,895,935,915,503,561,140,19,0.7472,851,841,997,21,82,100,920,1,1,809,809,809,809,809,895,869,809,30.1800,0.0000,617.8187,39,41
23,205,154,1,11,133,313,144,131,551,946,481,563,570,946,758,182,179,80,2,1.8378,0,0,0,0,0,0,551,570,420,33,33,33,33,33,33,33,33,0.0000,44.4893,501.1864,22,39
24,178,152,3,0,968,954,870,998,0,0,0,0,890,919,905,288,309,66,1,-0.6275,660,844,886,23,100,100,905,1,218,833,890,833,833,833,833,833,833,-7.1722,0.0000,643.4008,39,40
25,0,0,1,12,159,283,173,149,477,552,628,629,481,512,529,181,175,45,2,0.0000,0,0,0,0,0,0,477,506,481,59,59,59,59,59,59,59,59,0.0000,0.0000,0.0000,27,29
26,35,150,1,12,1,1,1,1,796,823,1372,1295,683,713,823,97,92,43,2,-1.3071,0,0,0,0,0,0,796,822,683,1,1,1,1,1,1,1,1,0.0000,20.5888,501.0498,48,49
27,221,156,1,12,1,259,1,1,511,688,745,745,449,550,603,102,99,38,1,1.9309,0,0,0,0,0,0,511,517,449,1,1,1,1,1,1,1,1,0.0000,23.5203,603.4955,23,32
31,167,151,5,0,961,1105,1013,945,617,617,900,900,957,1156,1057,322,312,64,2,-1.4781,635,921,840,19,100,100,1006,617,577,836,887,836,957,836,836,836,836,40.2051,0.0000,582.6677,43,48
36,190,153,1,12,357,351,376,347,630,806,832,986,598,805,718,236,229,102,3,2.8054,0,0,0,0,0,0,630,629,598,257,257,257,257,257,257,257,257,0.0000,26.7662,496.1831,39,55
37,183,152,1,11,2,3,2,2,948,981,1045,1056,927,981,954,118,124,86,1,-1.0154,0,0,0,0,0,0,948,927,613,1,1,1,1,1,1,1,1,0.0000,11.3581,615.7506,42,44
38,0,0,1,12,216,196,191,226,542,588,801,791,460,485,567,183,191,68,1,0.0000,0,0,0,0,0,0,542,546,460,116,116,116,116,116,116,116,116,0.0000,0.0000,0.0000,24,26
39,31,150,1,11,2,2,1,2,1021,1017,1030,1021,998,1017,1008,93,95,65,2,-0.5877,0,446,0,0,9,0,1021,998,635,1,1,1,1,1,1,1,1,0.0000,14.7692,572.1224,46,46
40,201,154,1,12,71,334,84,66,544,668,805,754,497,578,602,168,165,85,3,1.3986,0,0,0,0,0,0,544,536,497,1,1,1,1,1,1,1,1,0.0000,-16.1209,548.1314,28,35
42,0,0,1,12,66,119,81,59,344,608,460,449,426,537,517,172,167,89,3,0.0000,0,0,0,0,0,0,344,361,426,1,1,1,1,1,1,1,1,0.0000,0.0000,0.0000,20,28
43,181,152,1,11,1,1,1,1,837,817,837,837,823,817,820,117,124,50,0,-1.7796,0,0,0,0,0,0,837,823,542,1,1,1,1,1,1,1,1,0.0000,13.8040,515.9123,37,37
