state_id,nation_id,name,abbreviation,population,main_language_id
1,1,"Kabul","KAB",3162295,0
2,1,"Qandahar","QAN",391190,0
3,1,"Balh_","BAL",505293,0
4,1,"Herat","HER",443899,0
5,1,"Nangarhar","NAN",251646,0
6,1,"Qunduz","QUN",290998,0
7,1,"Gazni","GAZ",143008,0
8,1,"Bamiyan","BAM",147985,0
9,1,"Baglan","BAG",217522,0
10,1,"Paktiya","PAK",116288,0
11,1,"Khowst","KHO",96123,0
12,1,"Faryab","FAR",131712,0
13,1,"Samangan","SAM",112756,0
14,1,"Tah_ar","TAH",155555,0
15,1,"Jawzjan","JAW",135546,0
16,1,"Parwan","PAR",68708,0
17,1,"Badgis","BAD",67643,0
18,1,"Sar-e Pul","SAR",119741,0
19,1,"Kunar","KUN",64037,0
20,1,"Hilmand","HIL",145227,0
21,1,"Farah","FAR",82848,0
22,1,"Badakhshan","BAD",79175,0
23,1,"Nimruz","NIM",101216,0
24,1,"Gawr","GAW",61824,0
25,1,"Uruzgan","URU",60354,0
26,1,"Lawgar","LAW",48078,0
27,1,"Lagman","LAG",17345,0
28,1,"Nuristan","NUR",17072,0
29,1,"Wardag","WAR",21714,0
30,1,"Paktika","PAK",31768,0
31,1,"Zabul","ZAB",12191,0
32,1,"Kapisa","KAP",13024,0
33,2,"Tirana","TIR",390800,0
34,2,"Durrës","DUR",136172,0
35,2,"Elbasan","ELB",116349,0
36,2,"Vlorë","VLO",103640,0
37,2,"Shkodër","SHK",89102,0
38,2,"Fier","FIE",89055,0
39,2,"Korçë","KOR",61994,0
40,2,"Berat","BER",63162,0
41,2,"Lushnjë","LUS",47043,0
42,2,"Kavajë","KAV",29354,0
43,2,"Pogradec","POG",25758,0
44,2,"Kurbin","KUR",24825,0
45,2,"Gjirokastër","GJI",27088,0
46,2,"Krujë","KRU",42183,0
47,2,"Lezhë","LEZ",21393,0
48,2,"Kuçovë","KUç",18166,0
49,2,"Kukës","KUK",17972,0
50,2,"Mat","MAT",16707,0
51,2,"Dibrë","DIB",15261,0
52,2,"Sarandë","SAR",16496,0
53,2,"Skrapar","SKR",14046,0
54,2,"Librazhd","LIB",16706,0
55,2,"Tepelenë","TEP",16906,0
56,2,"Gramsh","GRA",11556,0
57,2,"Bulqizë","BUL",11212,0
58,2,"Përmet","PëR",13172,0
59,2,"Mallakastër","MAL",10361,0
60,2,"Mirditë","MIR",13825,0
61,2,"Tropojë","TRO",7967,0
62,2,"Kolonjë","KOL",10545,0
63,2,"Peqin","PEQ",7513,0
64,2,"Devoll","DEV",7114,0
65,2,"Pukë","PUK",8933,0
66,2,"Malsi e Madhe","MAL",4078,0
67,2,"Delvinë","DEL",3916,0
68,2,"Has","HAS",3215,0
69,3,"Algiers","ALG",2590974,0
70,3,"Wahran","WAH",1114626,0
71,3,"Constantine","CON",716835,0
72,3,"Batnah","BAT",642964,0
73,3,"Satif","SAT",606274,0
74,3,"al-Jilfah","AL-",719798,0
75,3,"Annabah","ANN",560682,0
76,3,"Biskrah","BIS",459109,0
77,3,"Sidi balabbas","SID",288563,0
78,3,"Tibissah","TIB",448926,0
79,3,"Tiyarat","TIY",474377,0
80,3,"as-Salif","AS-",560577,0
81,3,"Bijayah","BIJ",513483,0
82,3,"Sakikdah","SAK",446195,0
83,3,"Blidah","BLI",949615,0
84,3,"Burj Bu Arririj","BUR",325595,0
85,3,"Warqla","WAR",451836,0
86,3,"Medea","MED",342490,0
87,3,"Tizi Wazu","TIZ",1033112,0
88,3,"Bassar","BAS",143382,0
89,3,"Suq Ahras","SUQ",223950,0
90,3,"Jijili","JIJ",338767,0
91,3,"H_ansalah","H_A",227937,0
92,3,"Saidah","SAI",140493,0
93,3,"al-Wad","AL-",612141,0
94,3,"Mostaghanem","MOS",173547,0
95,3,"Qalmah","QAL",221384,0
96,3,"Tilimsan","TIL",644062,0
97,3,"al-Masilah","AL-",543593,0
98,3,"Galizan","GAL",295928,0
99,3,"al-Agwat","AL-",198555,0
100,3,"Umm-al-Bawagi","UMM",408382,0
101,3,"Adrar","ADR",231205,0
102,3,"Muaskar","MUA",312747,0
103,3,"al-Buirah","AL-",264677,0
104,3,"Gardayah","GAR",361218,0
105,3,"Ayn ad-Dafla","AYN",257796,0
106,3,"Tamanrasat","TAM",184427,0
107,3,"Milah","MIL",478325,0
108,3,"al-Bayad","AL-",129871,0
109,3,"Tisamsilt","TIS",98000,0
110,3,"at-Tarif","AT-",282122,0
111,3,"an-Naamah","AN-",132041,0
112,3,"Ayn Timusanat","AYN",185454,0
113,3,"Bumardas","BUM",447747,0
114,3,"Tinduf","TIN",41669,0
115,3,"Tibazah","TIB",249965,0
116,3,"Algeria","ALG",24288,0
117,3,"Ilizi","ILI",6629,0
118,206,"New York","NY",19378102,0
119,206,"California","CA",37253956,0
120,206,"Illinois","IL",12830632,0
121,206,"Texas","TX",25145561,0
122,206,"Pennsylvania","PA",12702379,0
123,206,"Arizona","AZ",6392017,0
124,206,"Michigan","MI",9883640,0
125,206,"Florida","FL",18801310,0
126,206,"Indiana","IN",6483802,0
127,206,"Ohio","OH",11536504,0
128,206,"Tennessee","TN",6346105,0
129,206,"Maryland","MD",5773552,0
130,206,"North Carolina","NC",9535483,0
131,206,"Wisconsin","WI",5686986,0
132,206,"Massachusetts","MA",6956296,0
133,206,"Washington","WA",6724540,0
134,206,"Colorado","CO",5029196,0
135,206,"District of Columbia","DC",601723,0
136,206,"Oregon","OR",3831074,0
137,206,"Nevada","NV",2700551,0
138,206,"Oklahoma","OK",3751351,0
139,206,"New Mexico","NM",2059179,0
140,206,"Louisiana","LA",4533372,0
141,206,"Virginia","VA",8001024,0
142,206,"Missouri","MO",5988927,0
143,206,"Georgia","GA",9687653,0
144,206,"Nebraska","NE",1826341,0
145,206,"Hawaii","HI",1360301,0
146,206,"Minnesota","MN",5303925,0
147,206,"Kansas","KS",2853118,0
148,206,"New Jersey","NJ",8791894,0
149,206,"Alaska","AK",710231,0
150,206,"Kentucky","KY",4339367,0
151,206,"Alabama","AL",4779736,0
152,206,"Iowa","IA",3046355,0
153,206,"Idaho","ID",1567582,0
154,206,"Arkansas","AR",2915918,0
155,206,"Utah","UT",2763885,0
156,206,"Rhode Island","RI",1164442,0
157,206,"Mississippi","MS",2967297,0
158,206,"South Dakota","SD",814180,0
159,206,"Connecticut","CT",3574097,0
160,206,"South Carolina","SC",4625364,0
161,206,"New Hampshire","NH",1316470,0
162,206,"Montana","MT",989415,0
163,206,"North Dakota","ND",672591,0
164,206,"Delaware","DE",900877,0
165,206,"Maine","ME",1328361,0
166,206,"Wyoming","WY",563626,0
167,206,"West Virginia","WV",1852994,0
168,206,"Vermont","VT",625741,0
169,229,"Saipan","SAI",62392,0
170,229,"Tinian","TIN",3540,0
171,229,"Rota","ROT",3283,0
173,4,"Western","WES",32435,0
174,4,"Eastern","EAS",23441,0
175,5,"Andorra la Vella","AND",20430,0
176,5,"Escaldes-Engordany","ESC",15853,0
177,5,"Encamp","ENC",11223,0
178,5,"Sant Julià de Lòria","SAN",8022,0
179,5,"La Massana","LA ",7211,0
180,5,"Canillo","CAN",3292,0
181,5,"Ordino","ORD",2553,0
182,6,"Luanda","LUA",2776168,0
183,6,"Huambo","HUA",280480,0
184,6,"Benguela","BEN",359158,0
185,6,"Bié","BIé",176283,0
186,6,"Huíla","HUí",143390,0
187,6,"Malanje","MAL",87046,0
188,6,"Namibe","NAM",80149,0
189,6,"Zaire","ZAI",110063,0
190,6,"Cabinda","CAB",66020,0
191,6,"Uíge","UíG",72845,0
192,6,"Lunda Sul","LUN",40498,0
193,6,"Kwanza Sul","KWA",53162,0
194,6,"Bengo","BEN",28224,0
195,6,"Kwanza Norte","KWA",21236,0
196,6,"Moxico","MOX",64484,0
197,6,"Lunda Norte","LUN",20115,0
198,6,"Kuando-Kubango","KUA",19141,0
199,6,"Cunene","CUN",10169,0
200,7,"Anguilla","ANG",5290,0
201,8,"St. John (Antigua & Barbuda)","SAI",40271,0
202,8,"St. Paul (Antigua & Barbuda)","SAI",4073,0
203,8,"St. Mary (Antigua & Barbuda)","SAI",16913,0
204,8,"Antigua & Barbuda","ANT",1372,0
205,9,"Buenos Aires","BUE",15594428,0
206,9,"Ciudad de Buenos Aires","CIU",11574205,0
207,9,"Santa Fé","SAN",3200736,0
208,9,"Mendoza","MEN",1741610,0
209,9,"Tucumán","TUC",1448200,0
210,9,"Salta","SAL",1215207,0
211,9,"San Juan (Argentina)","SAN",680427,0
212,9,"Chaco","CHA",1053466,0
213,9,"Santiago del Estero","SAN",896461,0
214,9,"Corrientes","COR",1236300,0
215,9,"Misiones","MIS",1097829,0
216,9,"Jujuy","JUJ",672260,0
217,9,"Entre Ríos","ENT",612335,0
218,9,"Neuquén","NEU",550334,0
219,9,"Formosa","FOR",527895,0
220,9,"Catamarca","CAT",367820,0
221,9,"San Luis","SAN",431588,0
222,9,"La Rioja (Argentina)","LA ",331847,0
223,9,"Córdoba","COR",3304825,0
224,9,"Chubut","CHU",506668,0
225,9,"La Pampa","LA ",316940,0
