team_id,year,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws
31,2019,150,1,0,1065,962,244,215,364,169,50,5,20,11,6,93,99,76,3,7,12,8,0,10,27,243,75,0,0.2536,0.3105,0.3784,117.0762,4.1924,0.1247,0.3008,0.6889,64.7059,0.0000
32,2019,150,1,0,1037,913,247,231,406,159,50,5,33,14,5,129,130,100,1,9,10,5,0,17,26,234,88,0,0.2705,0.3466,0.4447,144.6668,5.5562,0.1742,0.3471,0.7913,73.6842,0.0000
33,2019,150,1,0,1016,936,229,270,351,163,36,4,26,21,11,109,114,64,0,10,1,4,1,21,27,243,66,0,0.2447,0.2988,0.3750,102.4620,3.7184,0.1303,0.2962,0.6738,65.6250,0.0000
34,2019,150,1,0,1113,979,272,265,436,168,72,4,28,7,1,154,157,116,6,8,1,9,0,14,27,243,104,0,0.2778,0.3561,0.4454,162.7791,6.0041,0.1675,0.3462,0.8015,87.5000,0.0000
35,2019,150,1,0,963,861,209,230,356,131,42,3,33,14,5,107,109,77,4,13,3,9,0,20,25,225,78,0,0.2427,0.3115,0.4135,111.5006,4.3694,0.1707,0.3126,0.7249,73.6842,0.0000
36,2019,150,1,0,944,829,190,237,315,125,32,6,27,11,3,96,103,87,4,11,5,11,1,16,25,225,65,0,0.2292,0.3070,0.3800,100.8336,4.0393,0.1508,0.2953,0.6870,78.5714,0.0000
37,2019,150,1,0,1016,894,232,207,388,142,55,4,31,2,3,111,119,89,5,12,14,7,0,17,26,234,90,0,0.2595,0.3323,0.4340,130.9055,5.0277,0.1745,0.3190,0.7663,40.0000,0.0000
38,2019,150,1,0,924,812,203,201,351,129,35,4,35,12,6,114,119,89,3,10,6,7,0,14,24,216,74,0,0.2500,0.3290,0.4323,118.7086,4.9924,0.1823,0.3279,0.7612,66.6667,0.0000
39,2019,150,1,0,1036,907,247,230,397,153,62,8,24,25,13,125,134,100,2,11,13,5,0,19,27,243,94,0,0.2723,0.3500,0.4377,140.8786,5.3574,0.1654,0.3299,0.7877,65.7895,0.0000
40,2019,150,1,0,1086,972,258,249,401,174,54,1,29,8,1,123,128,98,1,9,4,3,0,30,27,243,84,0,0.2654,0.3373,0.4126,134.2028,4.8185,0.1471,0.3287,0.7499,88.8889,0.0000
41,2019,150,1,0,989,899,196,246,295,134,42,3,17,7,3,94,97,66,2,12,4,8,0,17,26,234,62,0,0.2180,0.2782,0.3281,83.3757,3.0628,0.1101,0.2702,0.6063,70.0000,0.0000
