team_id,gate_revenue,season_ticket_revenue,media_revenue,merchandising_revenue,revenue_sharing,playoff_revenue,cash,cash_owner,cash_trades,previous_balance,player_expenses,staff_expenses,stadium_expenses,season_tickets,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,local_media_contract,local_media_contract_expires,national_media_contract,national_media_contract_expires,scouting_budget,development_budget,draft_budget,draft_expenses,intl_fa_budget,spent_in_intl,budget,market,owner_expectation,total_revenue,total_expenses,financial_balance,budget_balance
31,27305040,25203291,82500000,19414971,-3911600,0,2000000,0,0,5911600,121652100,5528000,0,12831,2165292,0,0,0,24.2500,0,0,0,0,9200000,10800000,9975000,0,0,0,160000000,0,0,154423302,147180100,9243202,4844900
32,31664561,25905136,85000000,19267470,0,0,2000000,0,0,2000000,119035000,4992000,0,12666,2279988,0,0,0,25.2500,0,0,0,0,5200000,12240000,5687500,0,0,0,170000000,0,0,161837167,141467000,22370167,24845500
33,15844815,11473245,75000000,15487767,0,0,2000000,0,0,2000000,85616100,4770000,0,9443,1821204,0,0,0,15.0000,0,0,0,0,12000000,17760000,12250000,0,0,0,120000000,0,0,117805827,120146100,-340273,-10396100
34,56746008,75214656,120000000,32150034,0,0,10000000,0,0,10000000,220300000,5336000,0,21104,2999106,0,0,0,44.0000,0,0,0,0,12800000,13079999,1820000,0,0,0,290000000,0,0,284110698,251515999,42594699,46664001
35,14827860,9479430,74000000,13565799,-6008972,0,2000000,0,0,8008972,95735000,4808000,0,7802,1620486,0,0,0,15.0000,0,0,0,0,14800000,18000000,8750000,0,0,0,120000000,0,0,111873089,133343000,-19469911,-20093000
36,54016065,81019116,120000000,33499980,0,0,2000000,0,0,2000000,207615500,6054000,0,24396,3293541,0,0,0,41.0000,0,0,0,0,8800000,12000000,2700000,0,0,0,290000000,0,0,288535161,234469500,56065661,54830500
37,24925239,15933267,82500000,15104961,-3857900,0,2000000,0,0,5857900,129618400,4232000,0,9044,1878552,0,0,0,21.7500,0,0,0,0,8000000,12000000,4437500,0,0,0,140000000,0,0,138463467,153850400,-13386933,-16287900
38,34574952,28285503,85000000,20002464,-6732425,0,2000000,0,0,8732425,118302950,5882000,0,13303,2394684,0,0,0,26.2500,0,0,0,0,5600000,13440000,2800000,0,0,0,170000000,0,0,167862919,143224950,26637969,25975050
39,38133282,57195942,100000000,29304018,0,0,2000000,0,0,2000000,145473500,5872000,0,21561,2910816,0,0,0,32.7500,0,0,0,0,11200000,12960000,4112500,0,0,0,230000000,0,0,224633242,175505500,51127742,52382000
40,19911906,14418162,82500000,16075017,0,0,2000000,0,0,2000000,104448400,5446000,0,9889,1907226,0,0,0,18.0000,0,0,0,0,15200000,18000000,8400000,0,0,0,140000000,0,0,132905085,143094400,-8189315,-9494400
