team_id,g,w,l,pos,pct,gb,streak,magic_number
31,27,11,16,3,0.4074,6.0000,1,1000
32,26,12,14,4,0.4615,2.5000,-1,1000
33,27,10,17,5,0.3704,8.5000,-4,1000
34,27,16,11,3,0.5926,2.5000,1,1000
35,25,9,16,5,0.3600,5.5000,-1,1000
36,25,15,10,2,0.6000,1.5000,-2,1000
37,26,17,9,1,0.6538,0.0000,1,136
38,24,14,10,1,0.5833,0.0000,1,136
39,27,17,10,2,0.6296,0.0000,5,136
40,27,11,16,4,0.4074,4.5000,2,1000
41,26,12,14,3,0.4615,2.5000,1,1000
42,26,16,10,2,0.6154,1.5000,-1,1000
43,26,13,13,2,0.5000,2.0000,1,1000
44,28,17,11,3,0.6071,1.5000,-1,1000
45,28,10,18,4,0.3571,7.5000,-1,1000
46,27,14,13,4,0.5185,3.5000,2,1000
47,24,11,13,3,0.4583,3.0000,1,1000
48,25,16,9,2,0.6400,1.5000,-2,1000
49,25,14,11,1,0.5600,0.0000,-1,137
50,29,12,17,4,0.4138,7.0000,2,1000
51,26,7,19,5,0.2692,7.5000,-1,1000
52,25,13,12,3,0.5200,3.5000,2,1000
53,26,9,17,5,0.3462,7.5000,-5,1000
54,29,19,10,1,0.6552,0.0000,4,134
55,25,16,9,1,0.6400,0.0000,-1,137
56,25,11,14,5,0.4400,5.5000,-2,1000
57,26,18,8,1,0.6923,0.0000,-1,136
58,26,9,17,5,0.3462,8.5000,-3,1000
59,25,10,15,4,0.4000,7.5000,-1,1000
60,24,12,12,2,0.5000,1.5000,1,1000
85,0,0,0,0,0.0000,0.0000,0,0
86,0,0,0,0,0.0000,0.0000,0,0
157,23,8,15,3,0.3478,6.5000,-1,1000
158,23,15,8,1,0.6522,0.0000,3,117
159,22,12,10,2,0.5455,2.5000,1,1000
160,22,9,13,5,0.4091,5.5000,-2,1000
161,23,11,12,4,0.4783,4.0000,2,1000
162,23,12,11,1,0.5217,0.0000,2,118
163,22,12,10,3,0.5455,3.0000,-2,1000
164,21,13,8,2,0.6190,1.5000,2,1000
165,22,15,7,1,0.6818,0.0000,1,119
166,22,11,11,4,0.5000,4.0000,3,1000
167,22,12,10,3,0.5455,2.5000,-3,1000
168,22,14,8,1,0.6364,0.0000,1,117
169,23,12,11,2,0.5217,2.5000,-2,1000
170,21,3,18,4,0.1429,10.5000,-1,1000
171,23,7,16,4,0.3043,5.0000,1,1000
172,23,16,7,1,0.6957,0.0000,6,117
173,23,14,9,2,0.6087,2.0000,7,1000
174,23,12,11,1,0.5217,0.0000,-1,118
175,23,9,14,4,0.3913,7.0000,-5,1000
176,22,8,14,6,0.3636,6.5000,-1,1000
177,23,9,14,3,0.3913,3.0000,-1,1000
178,23,14,9,3,0.6087,2.0000,-3,1000
179,23,11,12,2,0.4783,1.0000,1,1000
180,23,11,12,2,0.4783,1.0000,-2,1000
181,23,7,16,4,0.3043,5.0000,1,1000
182,23,11,12,4,0.4783,4.0000,1,1000
183,23,13,10,2,0.5652,2.0000,-3,1000
184,23,10,13,3,0.4348,2.0000,-1,1000
185,23,15,8,1,0.6522,0.0000,-1,117
186,23,13,10,3,0.5652,2.0000,5,1000
187,23,17,6,1,0.7391,0.0000,4,118
188,23,12,11,4,0.5217,5.0000,-1,1000
189,23,5,18,6,0.2174,12.0000,-2,1000
190,21,11,10,3,0.5238,3.5000,-3,1000
191,22,12,10,3,0.5455,4.5000,-2,1000
192,19,12,7,2,0.6316,3.0000,1,1000
193,22,10,12,4,0.4545,5.0000,1,1000
194,22,15,7,1,0.6818,0.0000,1,118
195,22,8,14,5,0.3636,7.0000,-2,1000
196,20,4,16,6,0.2000,10.0000,-1,1000
197,23,14,9,2,0.6087,1.5000,1,1000
198,22,11,11,5,0.5000,5.5000,4,1000
199,21,8,13,5,0.3810,5.0000,2,1000
200,21,11,10,3,0.5238,2.0000,-2,1000
201,21,13,8,1,0.6190,0.0000,1,120
202,21,10,11,4,0.4762,4.0000,1,1000
203,21,14,7,1,0.6667,0.0000,-1,118
204,21,7,14,5,0.3333,7.0000,-1,1000
205,21,9,12,4,0.4286,4.0000,1,1000
206,20,11,9,2,0.5500,1.5000,1,1000
207,20,10,10,3,0.5000,3.5000,2,1000
208,21,11,10,2,0.5238,3.0000,-2,1000
209,22,10,12,3,0.4545,3.0000,1,1000
210,22,9,13,4,0.4091,4.0000,-1,1000
211,22,13,9,2,0.5909,0.0000,2,118
212,22,13,9,1,0.5909,0.0000,1,118
213,22,12,10,1,0.5455,0.0000,4,117
214,22,11,11,3,0.5000,1.0000,-2,1000
215,22,11,11,2,0.5000,1.0000,-2,1000
216,22,9,13,4,0.4091,3.0000,-1,1000
218,22,10,12,3,0.4545,5.5000,-1,1000
219,23,15,8,2,0.6522,1.0000,2,1000
220,23,4,19,4,0.1739,12.0000,-6,1000
221,23,16,7,1,0.6957,0.0000,8,118
223,23,10,13,3,0.4348,4.5000,-4,1000
224,23,12,11,2,0.5217,2.5000,1,1000
225,23,14,9,1,0.6087,0.0000,3,118
226,22,14,8,1,0.6364,0.0000,3,117
227,23,9,14,5,0.3913,5.0000,-1,1000
228,23,11,12,4,0.4783,4.0000,-1,1000
229,23,13,10,2,0.5652,1.0000,-3,1000
230,23,13,10,3,0.5652,1.0000,-4,1000
231,23,12,11,3,0.5217,3.0000,3,1000
232,23,11,12,4,0.4783,4.0000,-3,1000
233,23,10,13,4,0.4348,4.5000,-1,1000
234,23,12,11,2,0.5217,3.0000,5,1000
236,23,16,7,1,0.6957,0.0000,1,118
237,23,13,10,2,0.5652,2.0000,-2,1000
238,23,10,13,5,0.4348,5.0000,2,1000
239,23,12,11,3,0.5217,3.0000,-1,1000
240,23,15,8,1,0.6522,0.0000,6,117
241,22,9,13,4,0.4091,6.5000,-2,1000
242,23,13,10,3,0.5652,3.0000,2,1000
243,23,8,15,6,0.3478,7.0000,-3,1000
244,23,9,14,5,0.3913,7.0000,-4,1000
245,23,9,14,4,0.3913,5.0000,1,1000
246,23,15,8,2,0.6522,1.0000,2,1000
247,22,11,11,4,0.5000,1.5000,-1,1000
248,23,11,12,6,0.4783,2.0000,1,1000
249,21,10,11,7,0.4762,2.0000,1,1000
250,21,10,11,8,0.4762,2.0000,1,1000
251,23,11,12,5,0.4783,2.0000,-1,1000
252,22,11,11,3,0.5000,1.5000,-3,1000
253,23,8,15,8,0.3478,6.0000,-5,1000
254,23,12,11,5,0.5217,2.0000,-1,1000
255,22,8,14,7,0.3636,5.5000,2,1000
256,23,9,14,7,0.3913,5.0000,-1,1000
257,23,9,14,6,0.3913,5.0000,-2,1000
258,22,13,9,3,0.5909,0.5000,2,1000
259,23,13,10,4,0.5652,1.0000,-2,1000
260,23,14,9,1,0.6087,0.0000,5,119
261,23,10,13,6,0.4348,4.0000,-5,1000
262,23,11,12,4,0.4783,3.0000,-2,1000
263,22,12,10,2,0.5455,1.5000,2,1000
264,23,12,11,2,0.5217,1.0000,5,1000
265,23,14,9,1,0.6087,0.0000,1,118
266,23,11,12,4,0.4783,5.0000,1,1000
267,23,14,9,2,0.6087,0.0000,1,119
268,23,10,13,5,0.4348,4.0000,2,1000
269,23,11,12,6,0.4783,5.0000,-2,1000
270,23,16,7,1,0.6957,0.0000,2,116
271,22,9,13,7,0.4091,6.5000,-1,1000
272,23,13,10,2,0.5652,3.0000,3,1000
273,23,13,10,1,0.5652,0.0000,-1,118
274,23,11,12,3,0.4783,3.0000,-3,1000
275,23,11,12,5,0.4783,5.0000,3,1000
276,23,12,11,3,0.5217,4.0000,-2,1000
277,0,0,0,3,0.0000,0.0000,0,77
278,0,0,0,1,0.0000,0.0000,0,77
279,0,0,0,4,0.0000,0.0000,0,77
280,0,0,0,2,0.0000,0.0000,0,77
281,0,0,0,5,0.0000,0.0000,0,77
282,0,0,0,6,0.0000,0.0000,0,77
283,0,0,0,2,0.0000,0.0000,0,77
284,0,0,0,4,0.0000,0.0000,0,77
285,0,0,0,1,0.0000,0.0000,0,77
286,0,0,0,3,0.0000,0.0000,0,77
287,0,0,0,3,0.0000,0.0000,0,77
288,0,0,0,4,0.0000,0.0000,0,77
289,0,0,0,1,0.0000,0.0000,0,77
290,0,0,0,2,0.0000,0.0000,0,77
291,0,0,0,1,0.0000,0.0000,0,77
292,0,0,0,2,0.0000,0.0000,0,77
293,0,0,0,4,0.0000,0.0000,0,77
294,0,0,0,2,0.0000,0.0000,0,77
295,0,0,0,4,0.0000,0.0000,0,77
296,0,0,0,3,0.0000,0.0000,0,77
297,0,0,0,3,0.0000,0.0000,0,77
298,0,0,0,1,0.0000,0.0000,0,77
299,0,0,0,1,0.0000,0.0000,0,69
300,0,0,0,5,0.0000,0.0000,0,69
301,0,0,0,3,0.0000,0.0000,0,69
302,0,0,0,4,0.0000,0.0000,0,69
303,0,0,0,2,0.0000,0.0000,0,69
304,0,0,0,3,0.0000,0.0000,0,69
305,0,0,0,4,0.0000,0.0000,0,69
306,0,0,0,2,0.0000,0.0000,0,69
307,0,0,0,1,0.0000,0.0000,0,69
308,0,0,0,5,0.0000,0.0000,0,69
309,0,0,0,2,0.0000,0.0000,0,57
310,0,0,0,6,0.0000,0.0000,0,57
312,0,0,0,4,0.0000,0.0000,0,57
313,0,0,0,2,0.0000,0.0000,0,57
314,0,0,0,7,0.0000,0.0000,0,57
315,0,0,0,6,0.0000,0.0000,0,57
316,0,0,0,3,0.0000,0.0000,0,57
317,0,0,0,5,0.0000,0.0000,0,57
318,0,0,0,5,0.0000,0.0000,0,57
319,0,0,0,4,0.0000,0.0000,0,57
320,0,0,0,3,0.0000,0.0000,0,57
322,0,0,0,4,0.0000,0.0000,0,57
323,0,0,0,1,0.0000,0.0000,0,57
324,0,0,0,3,0.0000,0.0000,0,57
325,0,0,0,3,0.0000,0.0000,0,57
326,0,0,0,2,0.0000,0.0000,0,57
327,0,0,0,4,0.0000,0.0000,0,57
328,0,0,0,2,0.0000,0.0000,0,57
329,0,0,0,1,0.0000,0.0000,0,57
330,0,0,0,3,0.0000,0.0000,0,57
331,0,0,0,4,0.0000,0.0000,0,57
