team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
31,2019,150,1,1,629,159,710,286,176,139,67,62,85,83,159,158,2645,0,27,27,6,10,0,117,32,5,5,3,24,0,0,9,8,9,0,14,12,0,0,0,1,0,13,2,0,13.9811,0.2798,0.3504,0.4547,0.8050,9.9623,7.8679,1.3585,3.5094,0.0370,0.0000,0.4444,0.3750,2.4815,0.0000,0.0000,0.0000,4.6981,97.9630,0.0000,1.4969,0.5016,2.2419,0.3227
32,2019,150,1,1,555,147,634,211,135,110,92,57,64,62,160,161,2357,0,26,26,7,8,0,88,32,10,5,1,14,0,0,4,9,7,0,7,13,0,0,0,0,0,10,2,0,12.1837,0.2432,0.3189,0.3802,0.6991,8.2653,6.7347,0.8571,3.4898,0.0000,0.0000,0.5000,0.4667,3.5385,0.0000,0.0000,0.0000,3.7959,90.6538,0.0000,1.3061,0.4984,1.9298,0.2775
33,2019,150,1,1,466,117,518,231,127,101,66,42,81,73,107,126,1935,0,27,27,4,11,0,74,26,1,3,3,24,0,0,0,7,6,0,16,2,0,0,0,0,0,9,2,0,13.4615,0.2725,0.3385,0.4957,0.8342,9.7692,7.7692,1.8462,3.2308,0.0000,0.0000,0.0741,0.2667,2.4444,0.0000,0.0000,0.0000,5.6154,71.6667,0.0000,1.4444,0.4592,2.4048,0.2994
34,2019,150,1,1,632,163,696,274,171,163,113,42,80,69,151,143,2594,0,27,27,11,8,0,113,35,1,9,1,22,0,1,0,5,11,0,14,12,0,0,0,0,0,8,7,0,12.3681,0.2706,0.3228,0.4335,0.7563,9.4417,9.0000,1.2147,2.3190,0.0000,0.0000,0.4444,0.5789,4.1852,0.0000,0.0000,0.0000,3.8098,96.0741,0.0000,1.3067,0.5136,3.8810,0.3268
35,2019,150,1,1,462,114,515,225,127,104,66,42,82,75,125,100,1957,1,25,25,5,11,0,77,25,0,1,2,23,0,0,0,9,10,0,7,4,0,0,0,0,0,6,3,0,14.0904,0.2749,0.3476,0.4870,0.8346,9.9971,8.1866,1.8105,3.3061,0.0000,0.0000,0.1600,0.3125,2.6400,0.0000,0.0000,0.0000,5.9038,78.2800,0.0000,1.4781,0.5556,2.4762,0.3095
36,2019,150,1,1,575,152,635,223,141,114,75,43,72,68,160,169,2331,0,25,25,9,9,0,96,26,8,5,1,18,0,0,0,6,4,0,6,16,0,0,0,2,1,6,2,0,11.1316,0.2452,0.2998,0.3878,0.6877,8.3487,6.7500,1.0658,2.5461,0.0800,0.0000,0.6400,0.5000,3.0000,0.0000,0.0000,0.0000,4.0263,93.2400,0.0000,1.2105,0.4863,2.6512,0.2746
37,2019,150,1,1,587,151,647,233,149,136,90,41,78,74,158,146,2378,0,26,26,11,9,0,100,29,6,4,5,15,0,0,0,3,9,0,10,12,0,0,0,1,0,5,3,0,11.8609,0.2538,0.3105,0.3969,0.7074,8.8808,8.1060,0.8940,2.4437,0.0385,0.0000,0.4615,0.5500,3.4615,0.0000,0.0000,0.0000,4.4106,91.4615,0.0000,1.2583,0.5197,3.3171,0.3045
38,2019,150,1,1,589,147,637,253,165,141,76,38,75,65,135,146,2364,1,24,24,8,8,0,114,32,0,6,1,18,0,0,0,6,4,0,10,12,0,0,0,2,0,9,8,0,12.6448,0.2801,0.3250,0.4295,0.7545,10.0792,8.6131,1.0995,2.3213,0.0833,0.0000,0.5000,0.5000,3.1667,0.0000,0.0000,0.0000,3.9706,98.5000,0.0000,1.3778,0.4804,3.7105,0.3372
39,2019,150,1,1,612,159,676,255,165,143,89,52,76,74,180,128,2545,0,27,27,11,7,0,116,26,6,1,5,18,0,0,4,5,5,0,18,17,0,0,0,0,0,9,6,0,12.5660,0.2696,0.3313,0.4167,0.7480,9.3396,8.0943,1.0189,2.9434,0.0000,0.0000,0.6296,0.6111,3.2963,0.0000,0.0000,0.0000,4.1887,94.2593,0.0000,1.3648,0.5844,2.7500,0.3252
40,2019,150,1,1,606,149,675,292,175,137,93,57,109,105,145,149,2461,2,27,27,9,12,0,108,39,1,5,6,22,1,0,2,6,6,0,13,10,0,0,0,2,0,5,2,0,14.3118,0.2888,0.3531,0.4818,0.8350,10.5234,8.2383,1.3229,3.4276,0.0741,0.0000,0.3704,0.4286,3.4444,0.0000,0.0000,0.0000,6.3140,91.1481,0.0000,1.5501,0.4932,2.4035,0.3385
